% lon        lat           depth(km)    x(km)   y(km)        dx              dy              slip(m)     rake             dip          strike      timerup(s)    rise(s)
13.1412182 42.9794579 -0.0124023 -1.0000000e+00 1.0000000e+00 5.0000000e+02 5.0000000e+02 0.0000000e+00 -9.0000000e+01 4.7000000e+01 1.5500000e+02 6.5659915e+00 3.6000000e+00
13.1374187 42.9781609 -0.378079 -1.0000000e+00 5.0000000e-01 5.0000000e+02 5.0000000e+02 0.0000000e+00 -9.0000000e+01 4.7000000e+01 1.5500000e+02 6.4409603e+00 3.6000000e+00
13.1336184 42.9768677 -0.743756 -1.0000000e+00 0.0000000e+00 5.0000000e+02 5.0000000e+02 0.0000000e+00 -9.0000000e+01 4.7000000e+01 1.5500000e+02 6.3185021e+00 3.6000000e+00
13.1298189 42.9755707 -1.10943 -1.0000000e+00 -5.0000000e-01 5.0000000e+02 5.0000000e+02 0.0000000e+00 -9.0000000e+01 4.7000000e+01 1.5500000e+02 6.1987696e+00 3.6000000e+00
13.1260185 42.9742737 -1.47511 -1.0000000e+00 -1.0000000e+00 5.0000000e+02 5.0000000e+02 0.0000000e+00 -9.0000000e+01 4.7000000e+01 1.5500000e+02 6.0819237e+00 3.6000000e+00
13.1222181 42.9729767 -1.84079 -1.0000000e+00 -1.5000000e+00 5.0000000e+02 5.0000000e+02 0.0000000e+00 -1.3000000e+02 4.7000000e+01 1.5500000e+02 5.9681339e+00 3.6000000e+00
13.1184187 42.9716797 -2.20646 -1.0000000e+00 -2.0000000e+00 5.0000000e+02 5.0000000e+02 6.6537500e-03 -1.2500000e+02 4.7000000e+01 1.5500000e+02 5.8575784e+00 3.6000000e+00
13.1146183 42.9703827 -2.57214 -1.0000000e+00 -2.5000000e+00 5.0000000e+02 5.0000000e+02 2.2638181e-02 -1.0863892e+02 4.7000000e+01 1.5500000e+02 5.7504436e+00 3.6000000e+00
13.1108179 42.9690857 -2.93782 -1.0000000e+00 -3.0000000e+00 5.0000000e+02 5.0000000e+02 4.5114704e-02 -1.0524289e+02 4.7000000e+01 1.5500000e+02 5.6469244e+00 3.6000000e+00
13.1070185 42.9677887 -3.30349 -1.0000000e+00 -3.5000000e+00 5.0000000e+02 5.0000000e+02 6.8355605e-02 -1.0296937e+02 4.7000000e+01 1.5500000e+02 5.5472231e+00 3.6000000e+00
13.1032181 42.9664917 -3.66917 -1.0000000e+00 -4.0000000e+00 5.0000000e+02 5.0000000e+02 8.6633172e-02 -1.0006082e+02 4.7000000e+01 1.5500000e+02 5.4515491e+00 3.6000000e+00
13.0994186 42.9651985 -4.03485 -1.0000000e+00 -4.5000000e+00 5.0000000e+02 5.0000000e+02 9.9447667e-02 -9.4112875e+01 4.7000000e+01 1.5500000e+02 5.3601182e+00 3.6000000e+00
13.0956182 42.9639015 -4.40052 -1.0000000e+00 -5.0000000e+00 5.0000000e+02 5.0000000e+02 1.0951132e-01 -8.6608921e+01 4.7000000e+01 1.5500000e+02 5.2731511e+00 3.6000000e+00
13.0918179 42.9626045 -4.7662 -1.0000000e+00 -5.5000000e+00 5.0000000e+02 5.0000000e+02 1.1591437e-01 -8.0915200e+01 4.7000000e+01 1.5500000e+02 5.1908721e+00 3.6000000e+00
13.0880184 42.9613075 -5.13188 -1.0000000e+00 -6.0000000e+00 5.0000000e+02 5.0000000e+02 1.1774703e-01 -7.9455522e+01 4.7000000e+01 1.5500000e+02 5.1135075e+00 3.6000000e+00
