% lon        lat           depth(km)    x(km)   y(km)        dx              dy              slip(m)     rake             dip          strike      timerup(s)    rise(s)
13.2303133 42.7942619 -1.83778 -1.0000000e+00 1.0000000e+00 5.0000000e+02 5.0000000e+02 0.0000000e+00 -9.0000000e+01 3.6000000e+01 2.1000000e+02 3.3538463e+00 3.6000000e+00
13.2260180 42.7960815 -2.13168 -1.0000000e+00 5.0000000e-01 5.0000000e+02 5.0000000e+02 0.0000000e+00 -9.0000000e+01 3.6000000e+01 2.1000000e+02 3.1698598e+00 3.6000000e+00
13.2217236 42.7979012 -2.42557 -1.0000000e+00 0.0000000e+00 5.0000000e+02 5.0000000e+02 0.0000000e+00 -1.0000000e+01 3.6000000e+01 2.1000000e+02 2.9860214e+00 3.6000000e+00
13.2174282 42.7997208 -2.71946 -1.0000000e+00 -5.0000000e-01 5.0000000e+02 5.0000000e+02 3.9408535e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 2.8023604e+00 3.6000000e+00
13.2131338 42.8015404 -3.01336 -1.0000000e+00 -1.0000000e+00 5.0000000e+02 5.0000000e+02 1.0396405e+00 -1.0840940e+01 3.6000000e+01 2.1000000e+02 2.6189140e+00 3.6000000e+00
13.2088385 42.8033600 -3.30725 -1.0000000e+00 -1.5000000e+00 5.0000000e+02 5.0000000e+02 1.6654273e+00 -1.2054923e+01 3.6000000e+01 2.1000000e+02 2.4357308e+00 3.6000000e+00
13.2045441 42.8051796 -3.60114 -1.0000000e+00 -2.0000000e+00 5.0000000e+02 5.0000000e+02 2.0424056e+00 -1.2881505e+01 3.6000000e+01 2.1000000e+02 2.2528750e+00 3.6000000e+00
13.2002487 42.8069992 -3.89503 -1.0000000e+00 -2.5000000e+00 5.0000000e+02 5.0000000e+02 2.0644105e+00 -1.4079585e+01 3.6000000e+01 2.1000000e+02 2.0704333e+00 3.6000000e+00
13.1959543 42.8088188 -4.18893 -1.0000000e+00 -3.0000000e+00 5.0000000e+02 5.0000000e+02 1.8686259e+00 -1.5985986e+01 3.6000000e+01 2.1000000e+02 1.8885257e+00 3.6000000e+00
13.1916590 42.8106384 -4.48282 -1.0000000e+00 -3.5000000e+00 5.0000000e+02 5.0000000e+02 1.5910351e+00 -1.8555094e+01 3.6000000e+01 2.1000000e+02 1.7073230e+00 3.6000000e+00
13.1873646 42.8124580 -4.77671 -1.0000000e+00 -4.0000000e+00 5.0000000e+02 5.0000000e+02 1.3676214e+00 -2.1075320e+01 3.6000000e+01 2.1000000e+02 1.5270762e+00 3.6000000e+00
13.1830692 42.8142776 -5.0706 -1.0000000e+00 -4.5000000e+00 5.0000000e+02 5.0000000e+02 1.2257837e+00 -2.2651929e+01 3.6000000e+01 2.1000000e+02 1.3481685e+00 3.6000000e+00
13.1787739 42.8160973 -5.3645 -1.0000000e+00 -5.0000000e+00 5.0000000e+02 5.0000000e+02 1.0959520e+00 -2.3723373e+01 3.6000000e+01 2.1000000e+02 1.1712139e+00 3.6000000e+00
13.1744795 42.8179169 -5.65839 -1.0000000e+00 -5.5000000e+00 5.0000000e+02 5.0000000e+02 9.6865626e-01 -2.4628358e+01 3.6000000e+01 2.1000000e+02 9.9725274e-01 3.6000000e+00
13.1701841 42.8197365 -5.95228 -1.0000000e+00 -6.0000000e+00 5.0000000e+02 5.0000000e+02 8.3442623e-01 -2.5966995e+01 3.6000000e+01 2.1000000e+02 8.2817332e-01 3.6000000e+00
13.1658897 42.8215561 -6.24617 -1.0000000e+00 -6.5000000e+00 5.0000000e+02 5.0000000e+02 6.7912686e-01 -2.8665394e+01 3.6000000e+01 2.1000000e+02 6.6769468e-01 3.6000000e+00
13.1615944 42.8233757 -6.54007 -1.0000000e+00 -7.0000000e+00 5.0000000e+02 5.0000000e+02 5.1167882e-01 -3.3484762e+01 3.6000000e+01 2.1000000e+02 5.2378280e-01 3.6000000e+00
13.1573000 42.8251953 -6.83396 -1.0000000e+00 -7.5000000e+00 5.0000000e+02 5.0000000e+02 3.5719549e-01 -4.1205911e+01 3.6000000e+01 2.1000000e+02 4.1408666e-01 3.6000000e+00
13.1530046 42.8270149 -7.12785 -1.0000000e+00 -8.0000000e+00 5.0000000e+02 5.0000000e+02 2.4079030e-01 -5.0606113e+01 3.6000000e+01 2.1000000e+02 3.7037037e-01 3.6000000e+00
13.1487103 42.8288345 -7.42174 -1.0000000e+00 -8.5000000e+00 5.0000000e+02 5.0000000e+02 1.7400803e-01 -5.3548355e+01 3.6000000e+01 2.1000000e+02 4.1408666e-01 3.6000000e+00
13.1444149 42.8306541 -7.71564 -1.0000000e+00 -9.0000000e+00 5.0000000e+02 5.0000000e+02 1.4183892e-01 -4.3607472e+01 3.6000000e+01 2.1000000e+02 5.2378280e-01 3.6000000e+00
